name,categories,score,release_date,duration,description,url,timestamp
机器人总动员 - WALL·E,"喜剧, 科幻, 动画",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/82,2024-10-18 17:01:16
天堂电影院 - Nuovo Cinema Paradiso,"剧情, 爱情",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/83,2024-10-18 17:01:18
指环王2：双塔奇兵 - The Lord of the Rings: The Two Towers,"剧情, 动作, 奇幻, 冒险",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/84,2024-10-18 17:01:19
指环王1：护戒使者 - The Lord of the Rings: The Fellowship of the Ring,"剧情, 动作, 奇幻, 冒险",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/85,2024-10-18 17:01:22
射雕英雄传之东成西就 - The Eagle Shooting Heroes,"喜剧, 奇幻, 武侠, 古装",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/86,2024-10-18 17:01:24
蝙蝠侠：黑暗骑士 - The Dark Knight,"剧情, 动作, 科幻, 惊悚, 犯罪",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/87,2024-10-18 17:01:29
无间道 - Infernal Affairs,"剧情, 悬疑, 犯罪",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/88,2024-10-18 17:01:31
教父2 - The Godfather: Part Ⅱ,"剧情, 犯罪",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/89,2024-10-18 17:01:33
加勒比海盗 - Pirates of the Caribbean: The Curse of the Black Pearl,"动作, 奇幻, 冒险",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/90,2024-10-18 17:01:35
哈利·波特与魔法石 - Harry Potter and the Sorcerer's Stone,"奇幻, 冒险",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/91,2024-10-18 17:01:38
指环王3：王者无敌 - The Lord of the Rings: The Return of the King,"剧情, 动作, 奇幻, 冒险",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/92,2024-10-18 17:01:40
黑客帝国 - The Matrix,"动作, 科幻",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/93,2024-10-18 17:01:42
剪刀手爱德华 - Edward Scissorhands,"剧情, 爱情, 奇幻",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/94,2024-10-18 17:01:43
春光乍泄 - Happy Together,"剧情, 爱情",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/95,2024-10-18 17:01:45
大闹天宫 - The Monkey King,"动画, 奇幻",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/96,2024-10-18 17:01:47
天空之城 - 天空の城ラピュタ,"动画, 奇幻, 冒险",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/97,2024-10-18 17:01:49
音乐之声 - The Sound of Music,"剧情, 爱情, 歌舞, 传记",9.0,N/A,N/A,N/A,https://ssr1.scrape.center/detail/98,2024-10-18 17:01:50
辛德勒的名单 - Schindler's List,"剧情, 历史, 战争",9.5,N/A,N/A,N/A,https://ssr1.scrape.center/detail/99,2024-10-18 17:01:52
魂断蓝桥 - Waterloo Bridge,"剧情, 爱情, 战争",9.5,N/A,N/A,N/A,https://ssr1.scrape.center/detail/100,2024-10-18 17:01:54
